id,ilan_basligi,sirket_adi,sehir,meslek,maas_araligi,calisma_sekli,baslangic_tarihi,is_detay,cinsiyet,yas_min,yas_max
1,Yazılım Geliştirici,ABC Teknoloji,İstanbul,Yazılım Mühendisi,50000-100000,Özel,2025-05-20,Web uygulamaları geliştirme,Farketmez,22,35
2,Satış Temsilcisi,XYZ Pazarlama,Ankara,Satış Temsilcisi,25000-50000,Özel,2025-05-22,Saha satış operasyonları,Erkek,20,35
3,İnsan Kaynakları Uzmanı,HR Danışmanlık,İzmir,İK Uzmanı,50000-100000,Özel,2025-05-25,Personel süreç yönetimi,Kadın,25,40
4,Elektrik Mühendisi,Elektronet,Bursa,Elektrik Mühendisi,100000+,Kamu,2025-06-01,Proje yönetimi,Farketmez,28,45
5,Öğretmen,Özel Kolej,Antalya,Matematik Öğretmeni,25000-50000,Özel,2025-06-10,Lise matematik dersleri,Kadın,24,40
6,Depo Sorumlusu,DepoPlus,Kocaeli,Depo Sorumlusu,25000-50000,Özel,2025-05-30,Stok takibi ve yönetimi,Erkek,22,38
7,Çağrı Merkezi Elemanı,TeleCall,İstanbul,Çağrı Merkezi Elemanı,25000-50000,Özel,2025-05-21,Müşteri destek hizmetleri,Farketmez,18,30
8,Proje Yöneticisi,Projex,Ankara,Proje Yöneticisi,100000+,Özel,2025-06-05,Proje planlama ve raporlama,Farketmez,30,50
9,Temizlik Görevlisi,TemizOfis,İzmir,Temizlik Görevlisi,25000-50000,Özel,2025-05-23,Ofis temizliği,Farketmez,20,45
10,Şoför,Taşıma A.Ş.,Bursa,Şoför,25000-50000,Özel,2025-05-28,Şehir içi taşımacılık,Erkek,25,50
11,Garson,Lezzet Lokantası,Antalya,Garson,25000-50000,Özel,2025-05-27,Restoran servis hizmeti,Farketmez,18,35
12,Kasiyer,Marketim,İstanbul,Kasiyer,25000-50000,Özel,2025-05-29,Kasa işlemleri,Farketmez,18,30
13,İnşaat Mühendisi,İnşaatPro,Ankara,İnşaat Mühendisi,100000+,Kamu,2025-06-15,Şantiye yönetimi,Erkek,28,45
14,Avukat,Hukuk Bürosu,İzmir,Avukat,100000+,Özel,2025-06-20,Hukuki danışmanlık,Farketmez,27,50
15,Resepsiyonist,HotelSun,Antalya,Resepsiyonist,25000-50000,Özel,2025-05-26,Otel karşılama hizmeti,Kadın,20,35
16,Satın Alma Uzmanı,AlımSatım Ltd.,Bursa,Satın Alma Uzmanı,50000-100000,Özel,2025-06-02,Tedarikçi ilişkileri,Farketmez,25,40
17,İş Analisti,AnalizSoft,İstanbul,İş Analisti,50000-100000,Özel,2025-06-08,İş süreç analizi,Farketmez,24,38
18,Web Tasarımcısı,WebArt,Ankara,Web Tasarımcısı,50000-100000,Özel,2025-06-12,Web arayüz tasarımı,Farketmez,22,35
19,Ofis Asistanı,OfisDestek,İzmir,Ofis Asistanı,25000-50000,Özel,2025-05-24,Ofis içi destek hizmetleri,Kadın,20,32
20,İş Güvenliği Uzmanı,İSG Danışmanlık,Bursa,İş Güvenliği Uzmanı,50000-100000,Özel,2025-06-03,İSG eğitimleri,Farketmez,25,45
21,Veri Analisti,DataMind,İstanbul,Veri Analisti,50000-100000,Özel,2025-06-07,Veri analizi ve raporlama,Farketmez,23,36
22,Satış Müdürü,SatışMax,Ankara,Satış Müdürü,100000+,Özel,2025-06-11,Satış ekibi yönetimi,Erkek,30,50
23,İç Mimar,DesignHome,İzmir,İç Mimar,50000-100000,Özel,2025-06-14,İç mekan tasarımı,Kadın,25,40
24,İşletme Müdürü,İşletmePlus,Bursa,İşletme Müdürü,100000+,Özel,2025-06-18,İşletme yönetimi,Farketmez,32,55
25,Çocuk Gelişimi Uzmanı,ÇocukEvi,Antalya,Çocuk Gelişimi Uzmanı,50000-100000,Özel,2025-06-09,Çocuk gelişimi danışmanlığı,Kadın,24,38
26,Network Uzmanı,NetTek,İstanbul,Network Uzmanı,50000-100000,Özel,2025-06-13,Ağ yönetimi,Farketmez,23,40
27,Kimya Mühendisi,KimyaLab,Ankara,Kimya Mühendisi,100000+,Kamu,2025-06-16,Laboratuvar yönetimi,Farketmez,27,45
28,Psikolog,Danışmanlık Merkezi,İzmir,Psikolog,50000-100000,Özel,2025-06-19,Bireysel danışmanlık,Kadın,25,40
29,İş Makinesi Operatörü,İşMakina,Bursa,İş Makinesi Operatörü,50000-100000,Özel,2025-06-21,Şantiye makine kullanımı,Erkek,22,45
30,Kuaför,Kuaförüm,Antalya,Kuaför,25000-50000,Özel,2025-05-31,Saç kesim ve bakım,Kadın,20,35
31,Fotoğrafçı,FotoArt,İstanbul,Fotoğrafçı,25000-50000,Özel,2025-06-04,Stüdyo fotoğrafçılığı,Farketmez,20,40
32,Çevirmen,ÇeviriOfisi,Ankara,Çevirmen,50000-100000,Özel,2025-06-17,Yazılı ve sözlü çeviri,Farketmez,22,40
33,Danışma Görevlisi,Danışma Ltd.,İzmir,Danışma Görevlisi,25000-50000,Özel,2025-05-25,Ofis danışma hizmeti,Farketmez,20,35
34,İşletme Elemanı,İşletmeDestek,Bursa,İşletme Elemanı,25000-50000,Özel,2025-05-28,İşletme destek işleri,Farketmez,18,30
35,Ar-Ge Mühendisi,ArGeTek,Antalya,Ar-Ge Mühendisi,100000+,Özel,2025-06-22,Ar-Ge projeleri,Farketmez,25,40
36,Satış Destek Uzmanı,SatışDestek,İstanbul,Satış Destek Uzmanı,50000-100000,Özel,2025-06-10,Satış sonrası destek,Farketmez,22,35
37,İşletme Asistanı,OfisYardım,Ankara,İşletme Asistanı,25000-50000,Özel,2025-05-27,Ofis asistanlığı,Kadın,20,32
38,İnşaat Teknikeri,İnşaatPro,İzmir,İnşaat Teknikeri,50000-100000,Özel,2025-06-15,Şantiye teknik işleri,Erkek,22,38
39,Satış Danışmanı,SatışOfisi,Bursa,Satış Danışmanı,25000-50000,Özel,2025-05-30,Mağaza satış danışmanlığı,Farketmez,18,30
40,İş Sağlığı Hemşiresi,SağlıkMerkezi,Antalya,İş Sağlığı Hemşiresi,50000-100000,Özel,2025-06-12,İşyeri sağlık hizmetleri,Kadın,23,40
41,Veri Giriş Elemanı,DataGiriş,İstanbul,Veri Giriş Elemanı,25000-50000,Özel,2025-05-26,Veri giriş işlemleri,Farketmez,18,30
42,İşletme Yöneticisi,İşletmeMax,Ankara,İşletme Yöneticisi,100000+,Özel,2025-06-18,İşletme yönetimi,Farketmez,30,55
